Subject/Teacher,1A,1B,1C,1D,1F,1G,2A,2B,2D,2G,3A,3B,3C,3D,3F,3G,4A,4B,4C,4D,4F,4G
ang,12,8,6,6,6,8,6,10,3,5,12,10,6,6,6,10,10,8,6,6,6,8
IP,,4,,,,4,3,,,,,5,,,,,5,4,,,,
JD,,,,3,,,,5,,,6,,,3,3,,,,3,,,
Kw,,,3,,3,,,,,,,,3,,3,5,,,,,3,
MM,6,,,,,,,,,5,,,,,,,5,,,,,4
MW,,,,,,4,,,3,,,,,3,,,,4,,3,,4
PC,6,,,,,,,,,,,5,,,,,,,,,,
PM,,,,,3,,,,,,,,,,,,,,,,,
Si,,4,3,3,,,,,,,,,,,,5,,,3,,3,
Wa,,,,,,,3,5,,,6,,3,,,,,,,3,,
biol,3,1,1,1,3,1,4,2,4,2,1,1,1,1,4,1,,,,,2,
BW,,,,,,,4,2,4,,1,,,,4,1,,,,,,
Sc,3,1,1,1,3,1,,,,2,,1,1,1,,,,,,,2,
biz,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
Gr,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
chem,1,1,1,1,3,1,2,2,4,2,1,1,1,1,3,1,,,,,3,
JP,,,,,,,2,2,,,,,,,,,,,,,,
Sz,1,1,1,1,3,1,,,4,2,1,1,1,1,3,1,,,,,3,
cs,,,,,,,,,,,2,,,,,,,,,,,
MŻ,,,,,,,,,,,2,,,,,,,,,,,
cw,,,,,,,,,,,,,,,,,2,,,,,
MN,,,,,,,,,,,,,,,,,2,,,,,
edb,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Wr,1,1,1,1,1,1,,,,,,,,,,,,,,,,
eo,,,,,,,2,2,2,2,,,,,,,,,,,,
IM,,,,,,,2,,2,2,,,,,,,,,,,,
MŻ,,,,,,,,2,,,,,,,,,,,,,,
et,1,1,1,1,1,,1,1,,,1,,1,,,1,,1,,1,,
DC,1,1,1,1,1,,1,1,,,1,,1,,,1,,1,,1,,
ez,,,,,,,1,1,1,1,1,,1,1,1,1,,,,,,
BL,,,,,,,,,,,1,,1,1,,1,,,,,,
BW,,,,,,,,,1,,,,,,1,,,,,,,
Sc,,,,,,,1,1,,1,,,,,,,,,,,,
fil,1,1,1,1,1,1,,,,,,,,,,,,,,,,
DC,1,1,1,1,1,1,,,,,,,,,,,,,,,,
fiz,1,1,1,2,1,1,1,1,3,1,3,2,2,4,2,3,,,,2,,
MD,,,,,,,,,,,,,2,,2,3,,,,2,,
MH,1,1,1,2,1,1,1,1,3,1,3,2,,4,,,,,,,,
fran,2,4,2,2,2,2,,2,,2,2,4,2,2,2,2,2,3,2,2,2,2
TS,2,,,,2,,,2,,,2,,,2,2,2,,,,2,2,
Żo,,4,2,2,,2,,,,2,,4,2,,,,2,3,2,,,2
geo,1,2,1,1,1,2,2,3,2,3,3,2,1,1,1,4,2,3,,,,3
AC,,2,,,,2,,3,,3,3,2,,,,4,2,3,,,,3
IM,,,1,,1,,2,,2,,,,1,1,1,,,,,,,
Si,1,,,1,,,,,,,,,,,,,,,,,,
his,2,2,3,2,2,2,3,2,2,2,2,2,4,2,2,2,,,2,,,
DC,,,,,,,,,,,,2,,,,,,,,,,
IM,,,,,,,3,,2,,,,,,,2,,,,,,
MŻ,,,3,,,,,,,2,2,,4,,,,,,2,,,
WG,2,2,,2,2,2,,2,,,,,,2,2,,,,,,,
inf,2,2,2,4,2,2,2,2,4,2,2,2,2,6,2,2,,,,4,,
AA,,2,2,,2,2,,,,,,,,,,,,,,,,
PH,,,,,,,2,2,,2,,2,2,,2,,,,,,,
TG,2,,,4,,,,,4,,2,,,6,,2,,,,4,,
lw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,,,,,,,,,,,,,,,,,,,,,,1
BH,1,,,,,,,,,,,,,,,,,,,,,
BL,,,,,,,,,,,,,,1,,,,,,,,
BW,,,,,,,,,1,,,,,,,,,,,,,
DC,,,,,,,,,,,,1,,,,,,,,,,
Gr,,,,,,,,,,,,,,,,,,,1,,,
IM,,,,,,,1,,,,,,,,,,,,,,,
JD,,,,,,,,1,,,,,,,,,,,,,,
KP,,,,,,,,,,,,,,,,,,1,,,,
Ku,,,,,,,,,,,,,1,,,,,,,,,
LJ,,1,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,1,,,,,
MP,,,,,,1,,,,,,,,,,,,,,,,
MŻ,,,1,,,,,,,,,,,,,,,,,,,
PM,,,,,1,,,,,,,,,,,,,,,,,
Sc,,,,,,,,,,,,,,,,,,,,,1,
Si,,,,1,,,,,,,,,,,,,,,,,,
