Room,ang,biol,biz,chem,cs,cw,edb,eo,et,ez,fil,fiz,fran,geo,his,inf,lw,mat,niem,pol,relew,relkat,ros,roselkul,wf,wos,zajksztkr
02,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.10526315789473684,0.0,0.045454545454545456,0.020202020202020204,0.1276595744680851,0.010309278350515464,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.018292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.45454545454545453,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.030303030303030304,0.0,0.25773195876288657,1.0,0.09090909090909091,0.29411764705882354,0.0,0.0,0.0,0.0
14,0.018292682926829267,0.0,0.0,0.06896551724137931,0.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.044444444444444446,0.0,0.02631578947368421,0.0,0.045454545454545456,0.09090909090909091,0.06382978723404255,0.05154639175257732,0.0,0.0,0.17647058823529413,0.0,0.0,0.07142857142857142,0.0
15,0.012195121951219513,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.07142857142857142,0.125
16,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.08888888888888889,0.0,0.02631578947368421,0.0,0.0,0.23232323232323232,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.14285714285714285,0.1875
2,0.018292682926829267,0.06060606060606061,0.05,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.03225806451612903,0.0,0.23684210526315788,0.18421052631578946,0.0,0.09090909090909091,0.010101010101010102,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0625
22,0.0,0.06060606060606061,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.13157894736842105,0.0,0.045454545454545456,0.020202020202020204,0.0,0.041237113402061855,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
23,0.006097560975609756,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.02631578947368421,0.0,0.13636363636363635,0.020202020202020204,0.02127659574468085,0.24742268041237114,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
24,0.0,0.0,0.15,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.0,0.044444444444444446,0.0,0.34210526315789475,0.0,0.045454545454545456,0.010101010101010102,0.0,0.05154639175257732,0.0,0.13636363636363635,0.0,0.0,0.0,0.14285714285714285,0.0625
25,0.0,0.7878787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.010101010101010102,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.125
26,0.006097560975609756,0.06060606060606061,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
28,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.018292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.04040404040404041,0.0,0.2268041237113402,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.125
33,0.10975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.4,0.0,0.0,0.0
34,0.12804878048780488,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.030927835051546393,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0
35,0.10975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.44680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.17682926829268292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.04878048780487805,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.35555555555555557,0.02631578947368421,0.05263157894736842,0.0,0.09090909090909091,0.0,0.0,0.030927835051546393,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
4,0.006097560975609756,0.0,0.0,0.8620689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
5,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.09090909090909091,0.23232323232323232,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.125
6,0.006097560975609756,0.0,0.05,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.23232323232323232,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
7,0.07926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
8,0.10365853658536585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
