Subject,Teacher,Student_group,Room,Slot,Day
relkat,Br,1A,15,1,0
relew,Mr,1A,13,1,0
et,DC,1A,14,1,0
wf,BH,1A,Unknown,1,1
wf,BL,1A,Unknown,1,1
wf,WH,1A,Unknown,1,1
wf,BL,1A,Unknown,1,2
wf,WH,1A,Unknown,1,2
mat,MG,1A,6,1,3
fil,DC,1A,3,2,0
wf,BH,1A,Unknown,2,1
wf,BL,1A,Unknown,2,1
wf,WH,1A,Unknown,2,1
geo,Si,1A,39,2,2
mat,MG,1A,6,2,3
chem,Sz,1A,4,3,0
ang,PC,1A,33,3,1
ang,MM,1A,37,3,1
ang,PC,1A,8,3,2
ang,MM,1A,36,3,2
pol,AŻ,1A,3,3,3
ros,PM,1A,34,3,4
fran,TS,1A,02,3,4
niem,LJ,1A,35,3,4
ang,PC,1A,8,4,0
ang,MM,1A,34,4,0
biol,Sc,1A,25,4,1
ang,PC,1A,8,4,2
ang,MM,1A,36,4,2
pol,AŻ,1A,3,4,3
ros,PM,1A,34,4,4
fran,TS,1A,02,4,4
niem,LJ,1A,35,4,4
ang,PC,1A,8,5,0
ang,MM,1A,34,5,0
pol,AŻ,1A,13,5,1
pol,AŻ,1A,2,5,2
lw,BH,1A,39,5,3
fiz,MH,1A,15,5,4
his,WG,1A,23,6,0
pol,AŻ,1A,13,6,1
pol,AŻ,1A,2,6,2
ang,PC,1A,39,6,3
inf,TG,1A,28,6,3
his,WG,1A,16,6,4
biol,Sc,1A,25,7,0
biz,Gr,1A,15,7,1
mat,MG,1A,6,7,2
inf,TG,1A,28,7,3
ang,MM,1A,39,7,3
edb,Wr,1A,22,7,4
biz,Gr,1A,15,8,1
biol,Sc,1A,25,8,2
zajksztkr,Sc,1A,25,8,3
wf,BH,1A,Unknown,8,4
,,1A,Unknown,8,4
relew,Mr,1B,13,1,0
et,DC,1B,14,1,0
wf,BL,1B,Unknown,1,1
wf,WH,1B,Unknown,1,1
wf,BL,1B,Unknown,1,2
wf,WH,1B,Unknown,1,2
wf,BH,1B,Unknown,1,3
,,1B,Unknown,1,3
inf,AA,1B,11,2,0
ang,IP,1B,35,2,0
wf,BL,1B,Unknown,2,1
wf,WH,1B,Unknown,2,1
chem,Sz,1B,4,2,2
wf,BH,1B,Unknown,2,3
,,1B,Unknown,2,3
ang,Si,1B,35,3,0
inf,AA,1B,11,3,0
mat,RR,1B,14,3,1
ang,Si,1B,7,3,2
ang,IP,1B,33,3,2
biol,Sc,1B,25,3,3
relkat,Br,1B,P,3,4
,,1B,,3,4
mat,RR,1B,14,4,0
mat,RR,1B,14,4,1
ang,Si,1B,7,4,2
ang,IP,1B,33,4,2
fil,DC,1B,22,4,3
edb,Wr,1B,22,4,4
fran,Żo,1B,14,5,0
niem,LJ,1B,02,5,0
geo,AC,1B,26,5,1
his,WG,1B,22,5,2
pol,AŻ,1B,23,5,3
fran,Żo,1B,34,5,4
niem,LJ,1B,36,5,4
lw,LJ,1B,39,6,0
geo,AC,1B,26,6,1
his,WG,1B,22,6,2
fran,Żo,1B,14,6,3
niem,LJ,1B,7,6,3
fran,Żo,1B,34,6,4
niem,LJ,1B,36,6,4
wf,BH,1B,Unknown,7,0
,,1B,Unknown,7,0
pol,AŻ,1B,23,7,1
pol,AŻ,1B,23,7,2
